id,label
1,0.994584
10,0.080868
100,0.240316
1000,0.999930
10000,0.940884
10001,0.017752
10002,0.047242
10003,0.999827
10004,0.868363
10005,0.000264
10006,0.013736
10007,0.058450
10008,0.005365
10009,0.008171
1001,0.153454
10010,0.993224
10011,0.999719
10012,0.020604
10013,0.083115
10014,0.106737
10015,0.988958
10016,0.494934
10017,0.001214
10018,0.276395
10019,0.001600
1002,0.992887
10020,0.402088
10021,0.006029
10022,0.996896
10023,0.999837
10024,0.999999
10025,0.924167
10026,0.979238
10027,1.000000
10028,0.112476
10029,0.902334
1003,0.999980
10030,0.997345
10031,0.029634
10032,0.099153
10033,0.163668
10034,0.999876
10035,0.903137
10036,0.999346
10037,0.268183
10038,0.992215
10039,0.999904
1004,0.999962
10040,0.000944
10041,0.999913
10042,0.839556
10043,0.999984
10044,0.000765
10045,0.966716
10046,0.995187
10047,0.998581
10048,0.999994
10049,0.008479
1005,0.000188
10050,0.542219
10051,0.054629
10052,0.474160
10053,0.833665
10054,0.119471
10055,0.011146
10056,0.999955
10057,0.346272
10058,0.985615
10059,0.272321
1006,0.999984
10060,0.995425
10061,0.003029
10062,0.186648
10063,0.997254
10064,0.999796
10065,0.725506
10066,0.078770
10067,0.259834
10068,0.008360
10069,0.418317
1007,0.999998
10070,0.983095
10071,0.000112
10072,0.001007
10073,0.977461
10074,0.052759
10075,0.915284
10076,0.564493
10077,0.001574
10078,0.999880
10079,0.001702
1008,0.020130
10080,0.999832
10081,0.582063
10082,0.684081
10083,0.013208
10084,1.000000
10085,0.996361
10086,0.999998
10087,0.997301
10088,0.000316
10089,0.141657
1009,0.999960
10090,0.105763
10091,0.181527
10092,0.999355
10093,0.062860
10094,0.999839
10095,0.003627
10096,0.999981
10097,0.999949
10098,0.998941
10099,0.052010
101,0.091957
1010,0.999163
10100,0.920038
10101,0.999613
10102,0.487233
10103,0.011874
10104,0.999984
10105,0.982998
10106,0.099132
10107,0.286247
10108,0.997889
10109,0.000162
1011,0.213755
10110,0.996831
10111,0.412962
10112,0.005577
10113,0.999971
10114,0.430813
10115,0.076342
10116,0.999999
10117,0.059293
10118,0.335506
10119,0.906117
1012,0.994024
10120,0.042835
10121,0.140790
10122,0.212586
10123,0.951390
10124,0.999964
10125,0.032584
10126,0.005416
10127,0.991509
10128,0.510681
10129,0.756653
1013,0.003198
10130,0.421643
10131,0.819791
10132,0.175339
10133,0.013468
10134,0.890230
10135,0.999982
10136,0.985918
10137,0.645379
10138,0.993157
10139,0.997273
1014,0.999992
10140,0.573765
10141,0.999627
10142,0.989055
10143,0.960980
10144,0.988180
10145,0.032731
10146,0.999889
10147,0.965283
10148,0.924082
10149,0.064255
1015,0.021654
10150,0.141580
10151,0.069490
10152,0.002504
10153,0.993306
10154,0.306206
10155,0.782049
10156,0.111526
10157,0.378543
10158,0.276201
10159,0.945201
1016,0.776623
10160,0.029075
10161,0.015069
10162,0.994716
10163,0.999997
10164,0.806140
10165,0.410882
10166,0.984949
10167,0.999929
10168,0.569017
10169,0.982583
1017,0.165262
10170,0.293800
10171,0.032116
10172,0.992590
10173,0.004738
10174,0.607816
10175,0.188916
10176,0.998281
10177,0.984835
10178,0.594875
10179,0.984540
1018,0.999235
10180,0.046418
10181,0.997532
10182,0.053580
10183,0.538441
10184,0.016607
10185,0.957129
10186,0.998833
10187,0.984137
10188,0.173288
10189,0.999838
1019,0.999997
10190,0.999977
10191,0.020149
10192,0.782775
10193,0.004599
10194,0.001191
10195,0.994448
10196,0.979836
10197,0.999773
10198,0.138256
10199,0.497767
102,0.999100
1020,0.005610
10200,0.003135
10201,0.017841
10202,0.999997
10203,0.999801
10204,0.021049
10205,0.081277
10206,0.561232
10207,0.999636
10208,0.999926
10209,0.999284
1021,0.587376
10210,0.037377
10211,0.016631
10212,0.060116
10213,0.989956
10214,0.931336
10215,0.001217
10216,0.945545
10217,0.968411
10218,0.000633
10219,0.675180
1022,0.100892
10220,0.999944
10221,0.992454
10222,0.806881
10223,0.002526
10224,0.109334
10225,0.153256
10226,0.038590
10227,0.000688
10228,0.741648
10229,0.290370
1023,0.072512
10230,0.729828
10231,0.999852
10232,0.999985
10233,0.996116
10234,0.246861
10235,0.002940
10236,0.004492
10237,0.095296
10238,0.790668
10239,0.294451
1024,0.182316
10240,0.000148
10241,0.982223
10242,1.000000
10243,0.982668
10244,0.999953
10245,0.998818
10246,0.713695
10247,0.999999
10248,0.229802
10249,0.997656
1025,0.016828
10250,0.109287
10251,0.908135
10252,0.313473
10253,0.989541
10254,0.999059
10255,0.994581
10256,0.999894
10257,0.089090
10258,0.999988
10259,0.999810
1026,0.369287
10260,0.166839
10261,0.999966
10262,0.993449
10263,0.998802
10264,0.063850
10265,0.335822
10266,0.003190
10267,0.000539
10268,0.999858
10269,0.977856
1027,0.029009
10270,0.001894
10271,0.989380
10272,0.389989
10273,0.040375
10274,0.011468
10275,0.987131
10276,0.092673
10277,0.241116
10278,0.587892
10279,0.950576
1028,0.001484
10280,0.945808
10281,0.999999
10282,0.899964
10283,0.999978
10284,0.999946
10285,0.998367
10286,0.000459
10287,0.165866
10288,0.000034
10289,0.034265
1029,0.055679
10290,0.922972
10291,0.997012
10292,0.010025
10293,0.992609
10294,0.018065
10295,0.007772
10296,0.026541
10297,1.000000
10298,0.996991
10299,0.332072
103,0.003632
1030,0.002800
10300,0.999950
10301,0.017227
10302,0.993120
10303,0.323252
10304,0.999413
10305,0.999550
10306,0.997413
10307,0.606117
10308,0.012107
10309,0.008980
1031,0.032217
10310,0.668046
10311,0.069917
10312,0.000060
10313,0.973298
10314,0.022855
10315,1.000000
10316,0.933768
10317,0.999984
10318,0.005842
10319,0.572436
1032,0.580512
10320,0.999991
10321,0.999997
10322,0.999862
10323,0.901048
10324,0.985386
10325,0.046553
10326,0.999894
10327,0.990810
10328,0.046714
10329,0.999468
1033,0.532744
10330,0.656011
10331,0.013386
10332,0.999998
10333,0.223822
10334,0.722360
10335,0.999948
10336,0.116480
10337,0.083245
10338,0.601932
10339,0.990247
1034,0.999563
10340,0.032264
10341,0.070481
10342,0.999996
10343,0.002354
10344,0.975641
10345,0.891847
10346,0.544591
10347,0.229363
10348,0.653440
10349,0.981526
1035,0.061870
10350,0.998563
10351,0.000632
10352,0.994705
10353,0.026167
10354,0.879480
10355,0.998551
10356,0.004659
10357,0.911737
10358,0.019443
10359,0.803046
1036,0.956344
10360,0.024116
10361,0.008918
10362,0.023243
10363,0.000237
10364,1.000000
10365,0.142665
